Player,AVG,OPS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HPB,SO,GDP,OB%,SF,SH
Morgan Hill (Valdosta State),0.264,0.885,148,45,39,7,1,8,35,72,0.486,34,0,21,0,0.399,1,1
Lexi Love (Auburn Montgomery),0.26,0.624,104,14,27,2,0,1,10,32,0.308,8,1,14,0,0.316,1,5
Kayanna Perez (West Florida),0.258,0.544,66,10,17,0,0,0,5,17,0.258,3,0,7,0,0.286,1,6
Brooke Puckett (Union),0.258,0.647,62,3,16,1,1,1,8,22,0.355,3,0,10,0,0.292,0,1
Kiera Coulon (Christian Brothers),0.258,0.809,66,14,17,3,0,3,13,29,0.439,11,2,16,0,0.37,2,1
Mackenzie Nutt (Alabama Huntsville),0.257,0.639,113,23,29,2,0,1,25,34,0.301,15,0,11,0,0.338,2,3
Peyton Coots (West Alabama),0.256,0.639,39,1,10,0,0,0,5,10,0.256,5,3,10,1,0.383,0,0
Annalyn Ormsby (Lee),0.255,0.775,106,19,27,3,2,6,24,52,0.491,6,0,34,0,0.284,4,0
Taylor Lewis (Valdosta State),0.255,0.799,137,16,35,5,0,7,24,61,0.445,18,4,18,0,0.354,2,8
Kaylee George (Shorter),0.254,0.606,122,12,31,5,0,0,12,36,0.295,8,2,10,1,0.311,0,0
Madilynne Webb (West Florida),0.253,0.822,91,11,23,2,0,6,17,43,0.473,11,3,17,1,0.349,1,2
Morgan Zettle (West Florida),0.25,0.669,68,12,17,1,3,0,12,24,0.353,7,0,18,0,0.316,1,4
Lp Trammell (West Alabama),0.25,0.839,128,32,32,12,0,7,25,65,0.508,14,4,27,1,0.331,5,8
Grace Self (West Alabama),0.25,0.931,44,8,11,2,0,3,10,22,0.5,13,1,8,0,0.431,0,3
MyCala Helms (Delta State),0.25,0.824,104,27,26,7,1,4,21,47,0.452,16,6,18,0,0.372,3,6
Alyssa Ward (Union),0.248,0.586,145,18,36,2,1,0,9,40,0.276,10,3,19,0,0.31,0,6
Rayne Minor (Mississippi College),0.246,0.54,118,18,29,0,0,0,3,29,0.246,6,2,13,0,0.294,0,2
Harley Bartholomew (Union),0.243,0.612,107,13,26,1,1,0,2,29,0.271,14,2,23,0,0.341,0,2
Mackenzi David (Union),0.241,0.736,116,16,28,8,0,3,17,45,0.388,18,2,22,4,0.348,2,1
Kira Finkley (Union),0.24,0.736,25,2,6,2,0,1,6,11,0.44,2,0,6,0,0.296,0,1
Carlee Graham (Shorter),0.24,0.706,121,7,29,3,0,3,18,41,0.339,19,6,20,1,0.367,1,0
Lexie Bullock (Auburn Montgomery),0.24,0.686,25,15,6,1,0,1,5,10,0.4,2,0,0,1,0.286,1,4
Payton Tuder (Shorter),0.238,0.634,122,14,29,4,0,3,18,42,0.344,8,1,26,0,0.29,0,5
Laney Harris (Lee),0.238,0.612,143,14,34,9,1,0,20,45,0.315,8,5,21,0,0.297,2,4
Angela Agurkis (West Florida),0.233,0.826,73,15,17,7,0,3,13,33,0.452,17,0,14,0,0.374,1,2
Alyssa Branyan (Delta State),0.232,0.753,56,4,13,1,0,1,8,17,0.304,19,3,18,1,0.449,0,5
Shelby Newsome (Auburn Montgomery),0.231,0.807,134,38,31,6,1,4,24,51,0.381,30,17,22,0,0.426,2,4
Jenny Griggers (Delta State),0.229,0.701,157,26,36,6,1,8,23,68,0.433,9,0,30,0,0.268,2,3
Baylee Stewart (Union),0.227,0.558,66,6,15,1,0,0,11,16,0.242,6,3,14,2,0.316,1,2
Taylor Phillips (Shorter),0.227,0.652,119,17,27,7,1,1,17,39,0.328,14,3,21,0,0.324,0,1
Lauren Higginbotham (Montevallo),0.226,0.626,53,9,12,1,0,2,7,19,0.358,3,0,11,0,0.268,0,1
Mallory Little (Mississippi College),0.224,0.596,85,6,19,2,1,1,16,26,0.306,7,1,23,0,0.29,0,2
Alana Loyd (Shorter),0.222,0.485,18,1,4,0,0,0,2,4,0.222,1,0,5,0,0.263,0,0
Jacie Arrington (West Georgia),0.22,0.736,100,15,22,2,0,7,22,45,0.45,9,1,27,0,0.286,2,1
Ashlynn Smith (Christian Brothers),0.217,0.505,46,7,10,0,0,0,3,10,0.217,4,1,14,0,0.288,1,0
Raegan Stafford (Delta State),0.216,0.669,74,20,16,0,1,0,6,18,0.243,23,4,11,0,0.426,0,1
Mackenzie Puckett (Christian Brothers),0.214,0.655,117,18,25,3,0,5,27,43,0.368,9,3,22,1,0.287,0,1
Lexy House (West Alabama),0.213,0.533,80,20,17,1,0,0,8,18,0.225,10,1,8,0,0.308,0,4
Janina Remley (Lee),0.211,0.863,90,26,19,3,1,5,25,39,0.433,25,11,33,0,0.43,2,0
Cara Alexander (Christian Brothers),0.209,0.649,67,11,14,5,0,0,9,19,0.284,16,1,8,0,0.365,1,1
Paytn Cripps (Shorter),0.207,0.599,92,11,19,10,1,1,11,34,0.37,3,0,16,2,0.229,1,4
Alexis Sewell (Shorter),0.206,0.532,107,9,22,2,1,1,6,29,0.271,7,1,16,1,0.261,0,2
Ava Ramirez (West Georgia),0.197,0.584,71,5,14,4,0,1,12,21,0.296,8,1,14,1,0.288,0,1
Savannah Crockett (Christian Brothers),0.196,0.598,56,12,11,1,0,0,3,12,0.214,11,6,14,0,0.384,0,0
Maddie Gorsuch (West Georgia),0.195,0.675,77,13,15,2,0,5,11,32,0.416,6,1,16,1,0.259,1,0
Kayla Tosone (Valdosta State),0.188,0.376,16,15,3,0,0,0,0,3,0.188,0,0,4,0,0.188,0,1
Chelsea Dumas (West Florida),0.179,0.437,28,11,5,0,0,0,0,5,0.179,2,1,5,0,0.258,0,3
Kelsey Hodges (West Florida),0.172,0.549,58,8,10,3,0,1,14,16,0.276,7,1,9,0,0.273,0,1
Reese Earleywine (Christian Brothers),0.169,0.436,71,12,12,1,0,1,7,16,0.225,3,1,20,2,0.211,1,0
Kendall Johnson (West Alabama),0.16,0.548,94,31,15,3,0,1,6,21,0.223,19,4,31,0,0.325,0,5
Jaycee Dill (Mississippi College),0.154,0.421,26,8,4,0,0,0,2,4,0.154,3,1,4,0,0.267,0,1
Alyssa Gover (Delta State),0.148,0.392,27,14,4,1,0,0,2,5,0.185,1,1,8,0,0.207,0,0
M. Sheffield (West Alabama),0.083,0.374,24,12,2,0,1,0,2,4,0.167,4,0,9,0,0.207,1,2
